Region	Enabled	DataFlag	Start	End	Step	Sweeps	Dwell	Mode	CAE/CRR	Mag	Divide by Ten	Notes	Function	Line-Style	Point-Style	Sweeps-Acquired
1	true	Original	520.000	550.000	0.100	3	0.200	CAE	20.00	High	false	O1s-Sb3d	7 Channel Acquisition			3
Layer	Enabled	DataFlag	Notes	Formula	Line-Style	Point-Style
1	True		Ch(1)+Ch(2)+Ch(3)+Ch(4)+Ch(5)+Ch(6)+Ch(7)		
Energy	Counts
521.500	10887
521.600	10836
521.700	10798
521.800	10696
521.900	10807
522.000	10791
522.100	10885
522.200	10857
522.300	10721
522.400	10859
522.500	10879
522.600	10817
522.700	10962
522.800	10957
522.900	10990
523.000	11221
523.100	11003
523.200	11051
523.300	11045
523.400	11106
523.500	10990
523.600	11027
523.700	10764
523.800	10846
523.900	10970
524.000	11014
524.100	11018
524.200	10960
524.300	11150
524.400	11082
524.500	11051
524.600	10987
524.700	10813
524.800	10924
524.900	10929
525.000	10943
525.100	10662
525.200	10873
525.300	10814
525.400	10822
525.500	10788
525.600	10876
525.700	10805
525.800	10794
525.900	10834
526.000	10740
526.100	10875
526.200	10658
526.300	10679
526.400	10714
526.500	10876
526.600	10944
526.700	10908
526.800	10769
526.900	10794
527.000	10843
527.100	10755
527.200	10767
527.300	10845
527.400	10807
527.500	10741
527.600	10927
527.700	11098
527.800	10750
527.900	10786
528.000	10981
528.100	10850
528.200	10677
528.300	10832
528.400	10825
528.500	10785
528.600	10907
528.700	10819
528.800	10814
528.900	10853
529.000	10928
529.100	10925
529.200	10906
529.300	10957
529.400	10868
529.500	11003
529.600	10894
529.700	10877
529.800	11042
529.900	10846
530.000	10854
530.100	10856
530.200	10846
530.300	11076
530.400	11097
530.500	11113
530.600	11031
530.700	11214
530.800	11523
530.900	11701
531.000	11755
531.100	11875
531.200	12059
531.300	12300
531.400	12385
531.500	12598
531.600	12570
531.700	12655
531.800	12831
531.900	12690
532.000	12874
532.100	13007
532.200	12892
532.300	13180
532.400	13075
532.500	13242
532.600	13344
532.700	13645
532.800	13615
532.900	13352
533.000	13474
533.100	13255
533.200	13022
533.300	12797
533.400	12741
533.500	12375
533.600	12277
533.700	12059
533.800	11723
533.900	11725
534.000	11612
534.100	11545
534.200	11533
534.300	11656
534.400	11596
534.500	11279
534.600	11278
534.700	11241
534.800	11126
534.900	11013
535.000	11101
535.100	11235
535.200	11056
535.300	10904
535.400	11050
535.500	11056
535.600	11211
535.700	11054
535.800	11093
535.900	10963
536.000	11044
536.100	11071
536.200	11100
536.300	10992
536.400	11205
536.500	11143
536.600	11092
536.700	11180
536.800	11043
536.900	11070
537.000	11119
537.100	11024
537.200	11140
537.300	11164
537.400	11149
537.500	11196
537.600	11031
537.700	11163
537.800	10989
537.900	11015
538.000	11220
538.100	11267
538.200	11281
538.300	11080
538.400	11034
538.500	11212
538.600	11031
538.700	11163
538.800	11341
538.900	11191
539.000	10918
539.100	11093
539.200	11058
539.300	11169
539.400	11281
539.500	11000
539.600	10914
539.700	10963
539.800	11065
539.900	10927
540.000	10951
540.100	11155
540.200	11302
540.300	11282
540.400	11190
540.500	10998
540.600	10992
540.700	11079
540.800	11026
540.900	11019
541.000	11090
541.100	11124
541.200	11089
541.300	11054
541.400	10996
